Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
5,2017-04-26,8,O,1133,68
5,2017-04-26,9,I,366,48
5,2017-04-26,9,O,800,52
5,2017-04-26,10,I,332,36
5,2017-04-26,10,O,614,45
5,2017-04-26,11,I,413,42
5,2017-04-26,11,O,473,40
5,2017-04-26,12,I,393,27
5,2017-04-26,12,O,457,44
5,2017-04-26,13,I,428,39
5,2017-04-26,13,O,474,30
5,2017-04-26,14,I,747,47
5,2017-04-26,14,O,551,43
5,2017-04-26,15,I,950,50
5,2017-04-26,15,O,630,60
5,2017-04-26,16,I,1016,77
5,2017-04-26,16,O,563,65
5,2017-04-26,17,I,1211,68
5,2017-04-26,17,O,582,43
5,2017-04-26,18,I,1034,49
5,2017-04-26,18,O,488,49
5,2017-04-26,19,I,682,44
5,2017-04-26,19,O,325,38
5,2017-04-26,20,I,514,22
5,2017-04-26,20,O,216,24
5,2017-04-26,21,I,408,22
5,2017-04-26,21,O,168,18
5,2017-04-26,22,I,260,22
5,2017-04-26,22,O,124,19
5,2017-04-26,23,I,146,11
5,2017-04-26,23,O,90,19
5,2017-04-25,0,I,84,9
5,2017-04-25,0,O,37,7
5,2017-04-25,1,I,33,9
5,2017-04-25,1,O,21,4
5,2017-04-25,2,I,18,1
5,2017-04-25,2,O,13,2
5,2017-04-25,3,I,14,2
5,2017-04-25,3,O,20,2
5,2017-04-25,4,I,19,2
5,2017-04-25,4,O,54,5
5,2017-04-25,5,I,106,10
5,2017-04-25,5,O,352,14
5,2017-04-25,6,I,328,22
5,2017-04-25,6,O,992,26
5,2017-04-25,7,I,418,41
5,2017-04-25,7,O,1570,63
5,2017-04-25,8,I,409,42
5,2017-04-25,8,O,1170,59
5,2017-04-25,9,I,394,43
5,2017-04-25,9,O,721,56
5,2017-04-25,10,I,379,27
5,2017-04-25,10,O,501,37
5,2017-04-25,11,I,333,24
5,2017-04-25,11,O,471,34
5,2017-04-25,12,I,352,46
5,2017-04-25,12,O,398,25
5,2017-04-25,13,I,432,41
5,2017-04-25,13,O,423,47
5,2017-04-25,14,I,515,38
5,2017-04-25,14,O,500,52
5,2017-04-25,15,I,776,49
5,2017-04-25,15,O,592,59
5,2017-04-25,16,I,1070,53
5,2017-04-25,16,O,533,60
5,2017-04-25,17,I,1164,62
5,2017-04-25,17,O,509,41
5,2017-04-25,18,I,1094,60
5,2017-04-25,18,O,396,32
5,2017-04-25,19,I,766,57
5,2017-04-25,19,O,300,23
5,2017-04-25,20,I,530,33
5,2017-04-25,20,O,185,24
5,2017-04-25,21,I,395,30
5,2017-04-25,21,O,157,26
5,2017-04-25,22,I,199,21
5,2017-04-25,22,O,82,9
5,2017-04-25,23,I,115,13
5,2017-04-25,23,O,66,16
5,2017-04-24,0,I,80,16
5,2017-04-24,0,O,32,14
5,2017-04-24,1,I,35,9
5,2017-04-24,1,O,17,6
5,2017-04-24,2,I,26,2
5,2017-04-24,2,O,8,5
5,2017-04-24,3,I,21,8
5,2017-04-24,3,O,21,3
5,2017-04-24,4,I,19,1
5,2017-04-24,4,O,58,4
5,2017-04-24,5,I,119,8
5,2017-04-24,5,O,349,16
5,2017-04-24,6,I,363,24
5,2017-04-24,6,O,1052,26
5,2017-04-24,7,I,445,43
5,2017-04-24,7,O,1627,79
5,2017-04-24,8,I,430,55
5,2017-04-24,8,O,1047,59
5,2017-04-24,9,I,334,36
5,2017-04-24,9,O,665,37
5,2017-04-24,10,I,340,46
5,2017-04-24,10,O,529,45
5,2017-04-24,11,I,330,26
5,2017-04-24,11,O,445,37
5,2017-04-24,12,I,405,32
5,2017-04-24,12,O,445,30
5,2017-04-24,13,I,450,35
5,2017-04-24,13,O,432,36
5,2017-04-24,14,I,558,33
5,2017-04-24,14,O,529,47
5,2017-04-24,15,I,911,50
5,2017-04-24,15,O,632,64
5,2017-04-24,16,I,1047,52
5,2017-04-24,16,O,574,61
5,2017-04-24,17,I,1147,68
5,2017-04-24,17,O,531,53
5,2017-04-24,18,I,942,57
5,2017-04-24,18,O,464,52
5,2017-04-24,19,I,695,35
5,2017-04-24,19,O,307,39
5,2017-04-24,20,I,433,24
5,2017-04-24,20,O,207,37
5,2017-04-24,21,I,362,20
5,2017-04-24,21,O,137,22
5,2017-04-24,22,I,174,19
5,2017-04-24,22,O,110,14
5,2017-04-24,23,I,128,11
5,2017-04-24,23,O,70,8
5,2017-04-23,0,I,217,13
5,2017-04-23,0,O,80,22
5,2017-04-23,1,I,131,16
5,2017-04-23,1,O,57,12
5,2017-04-23,2,I,89,11
5,2017-04-23,2,O,25,10
5,2017-04-23,3,I,48,3
5,2017-04-23,3,O,27,8
5,2017-04-23,4,I,53,4
5,2017-04-23,4,O,27,7
5,2017-04-23,5,I,54,11
5,2017-04-23,5,O,76,5
5,2017-04-23,6,I,96,12
5,2017-04-23,6,O,175,10
5,2017-04-23,7,I,140,10
5,2017-04-23,7,O,258,18
5,2017-04-23,8,I,215,45
5,2017-04-23,8,O,353,32
5,2017-04-23,9,I,237,24
5,2017-04-23,9,O,460,41
5,2017-04-23,10,I,384,56
5,2017-04-23,10,O,561,39
5,2017-04-23,11,I,489,43
5,2017-04-23,11,O,509,37
5,2017-04-23,12,I,714,68
5,2017-04-23,12,O,557,56
5,2017-04-23,13,I,709,89
5,2017-04-23,13,O,575,42
